x: -0.090545654296875, y: 0.177413940429688, z: -0.985763549804688, 
x: -0.092498779296875, y: 0.161636352539062, z: -0.981903076171875, 
x: -0.0905303955078125, y: 0.143386840820312, z: -0.976577758789062, 
x: -0.09002685546875, y: 0.131072998046875, z: -0.97369384765625, 
x: -0.0963897705078125, y: 0.12860107421875, z: -0.972213745117188, 
x: -0.103256225585938, y: 0.129592895507812, z: -0.973678588867188, 
x: -0.102279663085938, y: 0.146896362304688, z: -0.984939575195312, 
x: -0.107666015625, y: 0.163223266601562, z: -0.995681762695312, 
x: -0.107177734375, y: 0.175552368164062, z: -1.00006103515625, 
x: -0.101318359375, y: 0.183334350585938, z: -0.988677978515625, 
x: -0.0944671630859375, y: 0.17291259765625, z: -0.976409912109375, 
x: -0.0846710205078125, y: 0.149246215820312, z: -0.970138549804688, 
x: -0.077301025390625, y: 0.127105712890625, z: -0.971755981445312, 
x: -0.0733795166015625, y: 0.11968994140625, z: -0.966384887695312, 
x: -0.091461181640625, y: 0.124343872070312, z: -0.995925903320312, 
x: -0.098846435546875, y: 0.14495849609375, z: -0.9884033203125, 
x: -0.107177734375, y: 0.149337768554688, z: -0.981460571289062, 
x: -0.0998382568359375, y: 0.150741577148438, z: -0.972579956054688, 
x: -0.089569091796875, y: 0.173416137695312, z: -0.9788818359375, 
x: -0.0881195068359375, y: 0.192596435546875, z: -0.977798461914062, 
x: -0.0988922119140625, y: 0.182235717773438, z: -0.972900390625, 
x: -0.106689453125, y: 0.147872924804688, z: -0.981964111328125, 
x: -0.0958709716796875, y: 0.123382568359375, z: -1.0003662109375, 
x: -0.0860748291015625, y: 0.124374389648438, z: -1.00038146972656, 
x: -0.089996337890625, y: 0.126312255859375, z: -0.997406005859375, 
x: -0.0929412841796875, y: 0.119796752929688, z: -0.98065185546875, 
x: -0.0924530029296875, y: 0.10693359375, z: -0.970367431640625, 
x: -0.0919647216796875, y: 0.102035522460938, z: -0.972869873046875, 
x: -0.0939178466796875, y: 0.105499267578125, z: -0.976287841796875, 
x: -0.100296020507812, y: 0.1177978515625, z: -0.9742431640625, 
x: -0.101318359375, y: 0.141357421875, z: -0.966705322265625, 
x: -0.104248046875, y: 0.157684326171875, z: -0.97845458984375, 
x: -0.103286743164062, y: 0.167037963867188, z: -0.979385375976562, 
x: -0.098358154296875, y: 0.158721923828125, z: -0.986846923828125, 
x: -0.09100341796875, y: 0.1414794921875, z: -0.9854736328125, 
x: -0.10028076171875, y: 0.11199951171875, z: -0.98907470703125, 
x: -0.113479614257812, y: 0.10418701171875, z: -0.99798583984375, 
x: -0.107635498046875, y: 0.118316650390625, z: -0.979156494140625, 
x: -0.107131958007812, y: 0.131820678710938, z: -1.00918579101562, 
x: -0.08563232421875, y: 0.134475708007812, z: -0.96875, 
x: -0.09588623046875, y: 0.13958740234375, z: -0.995346069335938, 
x: -0.101806640625, y: 0.153671264648438, z: -0.969100952148438, 
x: -0.087615966796875, y: 0.157562255859375, z: -0.962692260742188, 
x: -0.0670623779296875, y: 0.158004760742188, z: -0.957794189453125, 
x: -0.067047119140625, y: 0.1759033203125, z: -0.983352661132812, 
x: -0.0675506591796875, y: 0.192138671875, z: -0.983749389648438, 
x: -0.08416748046875, y: 0.192794799804688, z: -1.00543212890625, 
x: -0.0920257568359375, y: 0.18426513671875, z: -0.981292724609375, 
x: -0.0886077880859375, y: 0.179229736328125, z: -0.966018676757812, 
x: -0.0964202880859375, y: 0.1744384765625, z: -0.983306884765625, 
x: -0.08758544921875, y: 0.16217041015625, z: -0.988815307617188, 
x: -0.09002685546875, y: 0.1597900390625, z: -0.998703002929688, 
x: -0.0831756591796875, y: 0.155288696289062, z: -0.989852905273438, 
x: -0.08758544921875, y: 0.149307250976562, z: -0.979507446289062, 
x: -0.096435546875, y: 0.1328125, z: -0.942092895507812, 
x: -0.101242065429688, y: 0.123977661132812, z: -1.0126953125, 
x: -0.099334716796875, y: 0.112716674804688, z: -0.953048706054688, 
x: -0.125259399414062, y: 0.101089477539062, z: -0.976272583007812, 
x: -0.115982055664062, y: 0.133575439453125, z: -0.977081298828125, 
x: -0.07781982421875, y: 0.160507202148438, z: -0.96368408203125, 
x: -0.060638427734375, y: 0.161758422851562, z: -1.00218200683594, 
x: -0.057708740234375, y: 0.163162231445312, z: -0.9923095703125, 
x: -0.077301025390625, y: 0.16265869140625, z: -0.98883056640625, 
x: -0.0910186767578125, y: 0.156265258789062, z: -0.988845825195312, 
x: -0.08221435546875, y: 0.143829345703125, z: -0.971160888671875, 
x: -0.0802154541015625, y: 0.116836547851562, z: -0.979217529296875, 
